Rate Code,Total_Nights,Avg_Nights,Transactions,Total_Revenue,Avg_Revenue,Avg_Rate
TOBBWI,2915,40.49,72,1221627.41,16967.05,419.08
TOBBJN,2530,42.88,59,639259.47,10834.91,252.67
TOBB-WI,854,25.12,34,191251.67,5625.05,223.95
TOROWI,352,20.71,17,188519.93,11089.41,535.57
TOMILUX,479,119.75,4,164601.74,41150.44,343.64
TOEX,329,13.71,24,153282.81,6386.78,465.91
TOVOYCIS,367,122.33,3,141035.86,47011.95,384.29
TOFNCIS,507,126.75,4,117151.71,29287.93,231.07
TOKHACIS,398,99.5,4,106533.35,26633.34,267.67
TOFSSE,293,48.83,6,99057.68,16509.61,338.08
TOBBEB,396,12.38,32,95876.62,2996.14,242.11
TOCIS25,180,16.36,11,92729.7,8429.97,515.16
TOADOSC,282,141.0,2,61134.55,30567.28,216.79
TOELVFLS,235,58.75,4,59258.22,14814.56,252.16
TOHMSM,206,206.0,1,53685.51,53685.51,260.61
TODGSM,175,43.75,4,47440.12,11860.03,271.09
VYGESTCTR,116,58.0,2,35592.17,17796.08,306.83
TOGRM25,76,25.33,3,33799.96,11266.65,444.74
TOFNFS,106,53.0,2,33613.4,16806.7,317.11
TOMILUXFS,92,23.0,4,28404.83,7101.21,308.75
TODKCR,88,44.0,2,27357.07,13678.54,310.88
TOBB,34,2.62,13,21145.48,1626.58,621.93
TODGJAN,105,21.0,5,20988.68,4197.74,199.89
TOANECIS,94,47.0,2,20300.44,10150.22,215.96
TOAOPS,69,34.5,2,18755.07,9377.54,271.81
TORDLT,74,74.0,1,18574.95,18574.95,251.01
TOMIDER,44,22.0,2,17789.28,8894.64,404.3
TODUKO,54,27.0,2,17111.63,8555.82,316.88
TOROAT,53,53.0,1,15454.35,15454.35,291.59
TOKALIS,47,47.0,1,13268.62,13268.62,282.31
TOROEB,59,11.8,5,13235.56,2647.11,224.33
SPLBB,20,20.0,1,13211.2,13211.2,660.56
TOTFSUKB,31,31.0,1,11839.47,11839.47,381.92
TOJOYCIS,62,62.0,1,10785.89,10785.89,173.97
TOBBE40,38,9.5,4,8223.51,2055.88,216.41
TOBBWI5,16,5.33,3,4912.34,1637.45,307.02
TODGVC,26,26.0,1,4642.9,4642.9,178.57
PK004BBB,5,5.0,1,4464.65,4464.65,892.93
TOBB-30,6,6.0,1,3502.02,3502.02,583.67
TODGVP,7,1.75,4,2548.56,637.14,364.08
TOVOYISR,8,4.0,2,2209.12,1104.56,276.14
TODGTC,14,14.0,1,2137.52,2137.52,152.68
TOAOVP,12,12.0,1,2047.68,2047.68,170.64
TOROE40,4,4.0,1,1605.1,1605.1,401.28
GRPGCR,5,5.0,1,1414.45,1414.45,282.89
SPLRO,1,1.0,1,1405.8,1405.8,1405.8
TOBBFS,1,1.0,1,1354.54,1354.54,1354.54
TORO,1,1.0,1,1032.66,1032.66,1032.66
TOTTFS,7,7.0,1,880.18,880.18,125.74
TOELVFS,1,1.0,1,368.17,368.17,368.17
